Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-07-19 16:00:00,9125.29,9173.3,9121.05,9152.9,66.54,608493.8,9144.7
2020-07-19 17:00:00,9151.63,9160.96,9137.58,9148.89,36.67,335590.7,9152.15
2020-07-19 18:00:00,9149.05,9163.84,9148.09,9158.39,16.57,151741.28,9158.3
2020-07-19 19:00:00,9162.77,9168,9149,9168,35.38,324136.43,9160.99
2020-07-19 20:00:00,9168,9175.51,9154.92,9171.96,39.5,362109.26,9167.27
2020-07-19 21:00:00,9170.95,9182.21,9161.77,9170.83,37.22,341467.38,9173.07
2020-07-19 22:00:00,9176.66,9202,9163.66,9188.08,136.99,1259140.65,9191.69
2020-07-19 23:00:00,9192.12,9243.36,9192.12,9211.99,173.54,1599745.29,9218.21
2020-07-20 0:00:00,9213.15,9224.73,9184,9188.59,55.47,510251.98,9198.53
2020-07-20 1:00:00,9191.32,9198.42,9176.86,9181.21,34.19,314184.06,9190.47
2020-07-20 2:00:00,9181.08,9196.06,9175,9185.9,60.49,555828.56,9189.25
2020-07-20 3:00:00,9185.13,9195.59,9180,9189.48,147.5,1355383.08,9189.18
2020-07-20 4:00:00,9186.75,9191.24,9175,9176.57,123.42,1133365.62,9183.19
2020-07-20 5:00:00,9176.78,9197.79,9176.5,9193.95,43.36,398323.17,9186.7
2020-07-20 6:00:00,9188.76,9194.92,9179.22,9184.79,94.42,867249.09,9185.29
2020-07-20 7:00:00,9183.85,9186.65,9169.98,9183.13,94.4,866477.95,9178.81
2020-07-20 8:00:00,9179.32,9193.51,9177.11,9185.49,54.35,499138.99,9183.84
2020-07-20 9:00:00,9185.49,9193.95,9180.23,9187.92,80.74,741745.56,9187.02
2020-07-20 10:00:00,9185,9189.41,9128.21,9156.22,327.84,3003758.73,9162.17
2020-07-20 11:00:00,9156.22,9166.39,9146.23,9152.33,100.31,918530.94,9157
2020-07-20 12:00:00,9150,9166.86,9141.76,9165.17,75.86,694643.61,9156.6
2020-07-20 13:00:00,9163.37,9166.22,9143.9,9145.78,178.78,1637238.93,9157.84
2020-07-20 14:00:00,9149.36,9183.89,9145.53,9175.08,142.06,1302463.58,9168.5
2020-07-20 15:00:00,9169.7,9182.97,9166.76,9175.8,101.18,928418.64,9175.53
2020-07-20 16:00:00,9175.8,9180.77,9164.39,9179.5,80.31,736914.27,9176.39
2020-07-20 17:00:00,9178,9212.59,9177.93,9195.16,285.64,2627059.87,9197
2020-07-20 18:00:00,9198.33,9205.03,9180.32,9185.14,146.62,1347935.04,9193.65
